base_municipality,category,search_query,rank,score,title,url,snippet,error
中野区,building_guidance,中野区 建築指導課 建築確認,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D
中野区,district_plan,中野区 地区計画,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB
中野区,official,中野区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
中野区,road,中野区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E4%B8%AD%E9%87%8E%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
北区,building_guidance,北区 建築指導課 建築確認,1,0,,,,"HTTPSConnectionPool(host='html.duckduckgo.com', port=443): Read timed out. (read timeout=20)"
北区,district_plan,北区 地区計画,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E5%8C%97%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB
北区,official,北区 公式サイト,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E5%8C%97%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88
北区,road,北区 指定道路図 道路台帳 建築基準法道路,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E5%8C%97%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3+%E9%81%93%E8%B7%AF%E5%8F%B0%E5%B8%B3+%E5%BB%BA%E7%AF%89%E5%9F%BA%E6%BA%96%E6%B3%95%E9%81%93%E8%B7%AF
新宿区,official,新宿区 公式サイト,1,0,,,,"HTTPSConnectionPool(host='duckduckgo.com', port=443): Max retries exceeded with url: /html/?q=%E6%96%B0%E5%AE%BF%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88 (Caused by ConnectTimeoutError(<HTTPSConnection(host='duckduckgo.com', port=443) at 0x1b30a7d91d0>, 'Connection to duckduckgo.com timed out. (connect timeout=20)'))"
杉並区,building_guidance,杉並区 建築指導課 建築確認,1,0,,,,403 Client Error: Forbidden for url: https://html.duckduckgo.com/html/?q=%E6%9D%89%E4%B8%A6%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2+%E5%BB%BA%E7%AF%89%E7%A2%BA%E8%AA%8D
