prefecture,municipality,category,subcategory,title,url,source_level,required_status,memo,display_scope,priority
東京都,世田谷区,hazard,ハザード,ハザードマップ,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12840.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,世田谷区,hazard,ハザード,水害時・土砂災害時避難所について,https://www.city.setagaya.lg.jp/02049/577.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,世田谷区,hazard,ハザード,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12356.html,区公式候補,確認候補,クロール結果から抽出した防災・ハザード関連の確認候補,municipality,50
東京都,世田谷区,road,道路関連,"地区の地図（PDF：8,361KB）",https://www.city.setagaya.lg.jp/documents/14936/todoroki_tikumap.pdf,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,世田谷区,road,道路関連,令和7年度地区アセスメント（等々力地区）（PDF：399KB）,https://www.city.setagaya.lg.jp/documents/10433/16_todorokitikuasesu.pdf,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,世田谷区,road,道路関連,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,中央区,building_guidance,建築確認,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,中央区,building_guidance,建築確認,建築確認・許可・認定,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kyoka/index.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,中央区,building_guidance,建築確認,建築関係総合窓口（ワンストップ窓口）を開設しています,https://www.city.chuo.lg.jp/a0040/machizukuri/kenchiku/soumado.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
東京都,中央区,district_plan,都市計画情報,都市計画情報等,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/jouhou/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,中央区,district_plan,都市計画情報,都市計画・まちづくり,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,中央区,district_plan,都市計画情報,景観,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/keikan/index.html,区公式候補,確認候補,クロール結果から抽出した用途地域・都市計画関連の確認候補,municipality,50
東京都,中央区,road,道路関連,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,中央区,road,道路関連,道路の管理,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/dourodaichou/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,中央区,road,道路関連,道路の整備,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/dourojigyou/index.html,区公式候補,確認候補,クロール結果から抽出した道路・接道関連の確認候補,municipality,50
東京都,中野区,building_guidance,建築確認,多人数の居住実態がありながら防火関係規定などの建築基準法違反の疑いのある建築物（違法貸しルーム）に関する情報の受付窓口について,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taninzunokyojyu.html,区公式候補,確認候補,クロール結果から抽出した建築指導・建築確認関連の確認候補,municipality,50
