base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error
世田谷区,building_guidance,1,太子堂地区,https://www.city.setagaya.lg.jp/setagayachiiki/taishidou/index.html,公式トップ,https://www.city.setagaya.lg.jp/,
世田谷区,building_guidance,3,被災建築物の応急危険度判定,https://www.city.setagaya.lg.jp/02034/687.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,
世田谷区,district_plan,2,まちづくり活動の目標（地区ビジョン）と地区アセスメント,https://www.city.setagaya.lg.jp/01049/10433.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,
世田谷区,hazard,1,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,公式トップ,https://www.city.setagaya.lg.jp/,
世田谷区,hazard,1,ハザードマップ,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12840.html,公式トップ,https://www.city.setagaya.lg.jp/,
世田谷区,hazard,2,水害時・土砂災害時避難所について,https://www.city.setagaya.lg.jp/02049/577.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,
世田谷区,hazard,2,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html#a11692,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,
世田谷区,hazard,2,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,
世田谷区,hazard,2,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12356.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,
世田谷区,hazard,2,日頃から知っておきたい防災情報,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12357.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,
