base_municipality,detected_category,depth,title,url,source_page_title,source_page_url,error,score,display_rank,category_label
世田谷区,hazard,1,ハザードマップ,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12840.html,公式トップ,https://www.city.setagaya.lg.jp/,,35,関連確認,ハザード・災害リスク
世田谷区,hazard,2,水害時・土砂災害時避難所について,https://www.city.setagaya.lg.jp/02049/577.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,2,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12356.html,救急・防犯・防災,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/11536.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,松沢地区防災マップ,https://www.city.setagaya.lg.jp/01018/10398.html,防災地域版,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/12359.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,浸水確認箇所一覧／浸水確認箇所図,https://www.city.setagaya.lg.jp/02009/601.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,土砂災害防止法に基づく指定区域について,https://www.city.setagaya.lg.jp/02039/598.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,土砂災害特別警戒区域内への支援制度（その1）,https://www.city.setagaya.lg.jp/02039/620.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,土砂災害特別警戒区域内への支援制度（その2）,https://www.city.setagaya.lg.jp/02039/621.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,浸水被害にあってしまったら,https://www.city.setagaya.lg.jp/02049/20585.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,想定浸水深表示板の設置について,https://www.city.setagaya.lg.jp/02049/634.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,台風や大雨による土砂災害にご注意ください,https://www.city.setagaya.lg.jp/02049/638.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,世田谷区水害・土砂災害に関する避難情報の判断基準について,https://www.city.setagaya.lg.jp/02049/640.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,集中豪雨に注意しましょう　各自でできる浸水対策,https://www.city.setagaya.lg.jp/02401/580.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,令和元年台風第19号に伴う浸水被害検証委員会,https://www.city.setagaya.lg.jp/02401/706.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,令和元年台風第19号に伴う浸水被害の検証（最終報告）,https://www.city.setagaya.lg.jp/02401/707.html,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,水害・雪害・土砂災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a12356,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,hazard,3,水害時・土砂災害時避難所について,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html#a577,防災・災害対策,https://www.city.setagaya.lg.jp/kurashi/kyuukyuu/category/11692.html,,23,関連確認,ハザード・災害リスク
世田谷区,road,2,"地区の地図（PDF：8,361KB）",https://www.city.setagaya.lg.jp/documents/14936/todoroki_tikumap.pdf,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,36,関連確認,道路・接道確認
世田谷区,road,3,令和7年度地区アセスメント（等々力地区）（PDF：399KB）,https://www.city.setagaya.lg.jp/documents/10433/16_todorokitikuasesu.pdf,まちづくり活動の目標（地区ビジョン）と地区アセスメント,https://www.city.setagaya.lg.jp/01049/10433.html,,28,関連確認,道路・接道確認
世田谷区,road,2,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,地域の見守り（高齢者・障害者）,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,ごみ減量・リサイクル,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,講習・講座,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,2,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html#tmp_header,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html#tmp_header,等々力地区のお知らせ一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12176.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html#tmp_header,等々力地区のできごと一覧を見る,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12178.html,,23,関連確認,道路・接道確認
世田谷区,road,3,等々力中央保育園の紹介,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html#a10437,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html#tmp_header,子ども・子育て,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12180.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html#tmp_header,地域の見守り（高齢者・障害者）,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12181.html,,23,関連確認,道路・接道確認
世田谷区,road,3,健康,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#a12804,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,,23,関連確認,道路・接道確認
世田谷区,road,3,地域交流・仲間づくり,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#a12805,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html#tmp_header,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,,23,関連確認,道路・接道確認
世田谷区,road,3,等々力地区の震災時の避難場所と防災情報,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#a10438,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html#tmp_header,安全・安心・防災,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12183.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html#tmp_header,ごみ減量・リサイクル,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12184.html,,23,関連確認,道路・接道確認
世田谷区,road,3,,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html#tmp_header,講習・講座,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12185.html,,23,関連確認,道路・接道確認
世田谷区,road,3,健康,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12804.html,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,,23,関連確認,道路・接道確認
世田谷区,road,3,地域交流・仲間づくり,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12805.html,健康・地域交流,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/category/12182.html,,23,関連確認,道路・接道確認
世田谷区,road,1,等々力地区,https://www.city.setagaya.lg.jp/tamagawachiiki/todoroki/index.html,公式トップ,https://www.city.setagaya.lg.jp/,,20,関連確認,道路・接道確認
中央区,building_guidance,2,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,63,優先確認,建築指導・建築確認
中央区,building_guidance,2,建築確認・許可・認定,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kyoka/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,建築指導・建築確認
中央区,building_guidance,2,建築関係総合窓口（ワンストップ窓口）を開設しています,https://www.city.chuo.lg.jp/a0040/machizukuri/kenchiku/soumado.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,建築紛争が生じたときは,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/hunso.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,建築,https://www.city.chuo.lg.jp/machizukuri/kenchiku/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,住居表示,https://www.city.chuo.lg.jp/machizukuri/kenchiku/jyukyohyozi/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,既存の建築物に関する制度,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kizon/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,耐震に関する制度,https://www.city.chuo.lg.jp/machizukuri/kenchiku/taishin/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中央区,building_guidance,2,新築・増改築の事前手続き,https://www.city.chuo.lg.jp/machizukuri/kenchiku/kentikutetuzuki/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,13,参考,建築指導・建築確認
中央区,district_plan,2,都市計画情報等,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/jouhou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,83,優先確認,都市計画・用途地域
中央区,district_plan,2,都市計画・まちづくり,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,景観,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/keikan/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,公告・縦覧,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/koukoku/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,中央区のまちづくり,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/machi/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,市街地再開発事業,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/shigaichi/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,都市の活性化に向けた取組,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/toshikasseika/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,都市再生特別措置法に基づく取組,https://www.city.chuo.lg.jp/machizukuri/toshikeikaku/toshisaisei/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,43,優先確認,都市計画・用途地域
中央区,district_plan,2,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,都市計画・用途地域
中央区,road,2,建築基準法の道路種別,https://www.city.chuo.lg.jp/a0043/machizukuri/kenchiku/user_kentiku_time_dourosyubetu.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,63,優先確認,道路・接道確認
中央区,road,2,道路の管理,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/dourodaichou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,道路・接道確認
中央区,road,2,道路の整備,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/dourojigyou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,道路・接道確認
中央区,road,2,道路占用・承認工事,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/dourosenyou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,道路・接道確認
中央区,road,2,道路・橋りょう,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,道路・接道確認
中央区,road,2,橋りょう,https://www.city.chuo.lg.jp/machizukuri/dourokyouryou/kyouryou/index.html,まちづくり・環境,https://www.city.chuo.lg.jp/machizukuri/index.html,,23,関連確認,道路・接道確認
中央区,road,3,工場・指定作業場関連,https://www.city.chuo.lg.jp/a0036/machizukuri/bika/kougai/koujyoshitei.html,環境,https://www.city.chuo.lg.jp/machizukuri/bika/index.html,,23,関連確認,道路・接道確認
中野区,building_guidance,2,多人数の居住実態がありながら防火関係規定などの建築基準法違反の疑いのある建築物（違法貸しルーム）に関する情報の受付窓口について,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/taninzunokyojyu.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,63,優先確認,建築指導・建築確認
中野区,building_guidance,2,事業用建築物,https://www.city.tokyo-nakano.lg.jp/kurashi/gomi/syoten-jigyosyo/jigyoyokenchikubutsu.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中野区,building_guidance,2,安全安心な建物づくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/anzenanshin-tatemono.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中野区,building_guidance,2,中野消防署と合同の繁華街査察を実施しました,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/hannkagai-sasatu.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中野区,building_guidance,2,違反建築防止週間の実施について,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/ihankenchikuboushisyuukan.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中野区,building_guidance,2,違反建築物に対する措置,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/ihankenchikubutsu.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
中野区,building_guidance,2,建築,https://www.city.tokyo-nakano.lg.jp/machizukuri/kenchiku/index.html,まちづくり,https://www.city.tokyo-nakano.lg.jp/machizukuri/index.html,,23,関連確認,建築指導・建築確認
