prefecture,municipality,base_municipality,category,target_url,status,detected_types,recommended_action,comment,important_urls,error
東京都,千代田区公式サイト,千代田区,official,https://www.city.chiyoda.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,千代田区道路情報,千代田区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,千代田区地区計画,千代田区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,千代田区建築指導課,千代田区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,中央区公式サイト,中央区,official,https://www.city.chuo.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,中央区道路情報,中央区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,中央区地区計画,中央区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,中央区建築指導課,中央区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,港区公式サイト,港区,official,https://www.city.minato.tokyo.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,港区道路情報,港区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,港区地区計画,港区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,港区建築指導課,港区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,新宿区公式サイト,新宿区,official,https://www.city.shinjuku.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,新宿区道路情報,新宿区,road,https://www.city.shinjuku.lg.jp/seikatsu/file18_03_00008.html,manual_registered,,公式確認先,公式確認先URLを登録済み。必要に応じて内容を確認してください。,,
東京都,新宿区地区計画,新宿区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,新宿区建築指導課,新宿区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,文京区公式サイト,文京区,official,https://www.city.bunkyo.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,文京区道路情報,文京区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,文京区地区計画,文京区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,文京区建築指導課,文京区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,台東区公式サイト,台東区,official,https://www.city.taito.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,台東区道路情報,台東区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,台東区地区計画,台東区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,台東区建築指導課,台東区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,墨田区公式サイト,墨田区,official,https://www.city.sumida.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,墨田区道路情報,墨田区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,墨田区地区計画,墨田区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,墨田区建築指導課,墨田区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
東京都,江東区公式サイト,江東区,official,https://www.city.koto.lg.jp/,manual_seeded,,公式確認先,23区公式サイトURLを初期登録。必要に応じて確認。,,
東京都,江東区道路情報,江東区,road,,manual,,公式URL登録待ち,指定道路図、道路台帳、道路種別、幅員確認先。後で登録。,,
東京都,江東区地区計画,江東区,district_plan,,manual,,公式URL登録待ち,地区計画、まちづくりルール確認先。後で登録。,,
東京都,江東区建築指導課,江東区,building_guidance,,manual,,公式URL登録待ち,接道、再建築可否、建築基準法道路の最終確認先。後で登録。,,
