base_municipality,category,search_keyword,google_search_url,registered_url
千代田区,official,千代田区 公式サイト,https://www.google.com/search?q=%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
千代田区,road,千代田区 指定道路図,https://www.google.com/search?q=%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
千代田区,district_plan,千代田区 地区計画,https://www.google.com/search?q=%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
千代田区,building_guidance,千代田区 建築指導課,https://www.google.com/search?q=%E5%8D%83%E4%BB%A3%E7%94%B0%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
中央区,official,中央区 公式サイト,https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
中央区,road,中央区 指定道路図,https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
中央区,district_plan,中央区 地区計画,https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
中央区,building_guidance,中央区 建築指導課,https://www.google.com/search?q=%E4%B8%AD%E5%A4%AE%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
港区,official,港区 公式サイト,https://www.google.com/search?q=%E6%B8%AF%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
港区,road,港区 指定道路図,https://www.google.com/search?q=%E6%B8%AF%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
港区,district_plan,港区 地区計画,https://www.google.com/search?q=%E6%B8%AF%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
港区,building_guidance,港区 建築指導課,https://www.google.com/search?q=%E6%B8%AF%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
新宿区,official,新宿区 公式サイト,https://www.google.com/search?q=%E6%96%B0%E5%AE%BF%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,https://www.city.shinjuku.lg.jp/
新宿区,road,新宿区 指定道路図,https://www.google.com/search?q=%E6%96%B0%E5%AE%BF%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,https://www.city.shinjuku.lg.jp/seikatsu/file18_03_00008.html
新宿区,district_plan,新宿区 地区計画,https://www.google.com/search?q=%E6%96%B0%E5%AE%BF%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
新宿区,building_guidance,新宿区 建築指導課,https://www.google.com/search?q=%E6%96%B0%E5%AE%BF%E5%8C%BA+%E5%BB%BA%E7%AF%89%E6%8C%87%E5%B0%8E%E8%AA%B2,
文京区,official,文京区 公式サイト,https://www.google.com/search?q=%E6%96%87%E4%BA%AC%E5%8C%BA+%E5%85%AC%E5%BC%8F%E3%82%B5%E3%82%A4%E3%83%88,
文京区,road,文京区 指定道路図,https://www.google.com/search?q=%E6%96%87%E4%BA%AC%E5%8C%BA+%E6%8C%87%E5%AE%9A%E9%81%93%E8%B7%AF%E5%9B%B3,
文京区,district_plan,文京区 地区計画,https://www.google.com/search?q=%E6%96%87%E4%BA%AC%E5%8C%BA+%E5%9C%B0%E5%8C%BA%E8%A8%88%E7%94%BB,
